1929 ou 1989 ?	1929年还是1989年?
Du fait de la transformation des risques et de leur migration hors du secteur bancaire, les régulateurs et les responsables politiques devront intensifier leurs efforts et élargir la surveillance au-delà du secteur bancaire.	风险已经改变 — — 并且已经从银行系统转移出去 — — 因此监管者和监督者必须采取行动，将注意力扩大到银行之外。
Ainsi que l'a souligné Greg Ip dans le Wall Street Journal en 2015, pousser le risque hors de l'économie revient à appuyer sur une excroissance sur une chambre à air, elle réapparaît souvent à un autre endroit.	毕竟 ， 《 华尔街日报》的叶伟平（Greg Ip）在2015年时指出 ， “ 将风险挤出经济就像是挤压水床：风险通常会在别处重新出现。
Et de conclure : "Il en est de même avec les mesures destinées à rendre le système financier plus sûr depuis la crise financière".	金融危机以来为了让金融体系变得更安全的措施也是如此 。 ”
	
Une solution efficace et peu coûteuse au réchauffement planétaire	解决全球变暖的便宜之计
COPENHAGUE – Avec le réchauffement planétaire, les victimes de la chaleur seront de plus en plus nombreuses.	发自哥本哈根 — — 全球变暖对于我们来说，意味着将有更多人将死于高温。
On verra le niveau des eaux monter, et le paludisme, la famine et la pauvreté gagner du terrain.	海平面将升高，世界上将有更多人罹患疟疾并受到饥饿与贫困的威胁。
Les inquiétudes sont grandes, pourtant, l’humanité fait peu pour lutter réellement contre ces fléaux.	而尽管这些问题已经得到了足够的关注，但人类目前为切实阻止上述后果所做的一切都还只是九牛一毛。
Malgré maintes promesses de réduction des émissions de carbone, ces dernières ne cessent d’augmenter.	尽管人们一再承诺减排，但温室气体的排放量却仍然持续上升，
Il est de notre intérêt à tous de freiner le changement climatique.	事实上，确保气候不再肆意变化是和我们每个人都利益攸关的事情。
Nous avons fait appel aux spécialistes du climat pour qu’ils nous informent sur le problème du réchauffement planétaire.	在过去，我们求助于气象学家来了解全球变暖问题。
Maintenant, nous devons faire appel aux économistes du climat pour qu’ils nous éclairent sur les bénéfices, les coûts et les résultats éventuels des différentes solutions à ce problème.	而如今人们则需要求助于气候经济学家来指点一下那些针对全球变暖的不同应对措施所可能带来的效益，成本以及可能引起的后果。
Les leaders de la planète se rencontreront en décembre prochain à Copenhague pour mettre au point un nouveau pacte de lutte contre le réchauffement climatique.	来自世界各国领导人定于今年12月在哥本哈根会面，以共同缔结一个新的条约来应对全球变暖问题。
Devront-ils poursuivre les plans fondés sur des promesses de réduction des émissions de carbone qui ne seront probablement pas tenues ?	那么政要们是否应该坚持原来的承诺，继续坚持推动不太可能实现的碳排放削减计划？
Devront-ils plutôt retarder les réductions d’une vingtaine d’années ?	还是将减排计划向后推迟20年？
Que peut-on obtenir en plantant plus d’arbres, en limitant le méthane ou en réduisant les émissions de suie ?	如果我们种更多的树、减少沼气或降低煤炭排放能取得什么样的效果？
Est-il raisonnable de se concentrer sur une solution technologique au réchauffement ?	而把解决全球变暖的全部精力都放在一个技术解决方案上又是否明智？
Ou devrions-nous simplement nous adapter à un monde plus chaud ?	又或者我们要做的，只是适应一个更暖和的地球就好了？
Aujourd’hui, le débat politique reste principalement axé sur la réduction des émissions de carbone, alors qu’il existe une multitude d’autres façons d’améliorer le climat planétaire.	当今的大多数政策讨论依然将重点放在削减碳排放上，但解决全球气候问题其实是有许多道路可走的。
Nos choix auront des résultats et des coûts différents.	而我们的不同选择，将会导致不同的成果，付出的成本也会不同。
La combinaison optimale de remèdes sera celle qui aura l’impact le plus important à moindre coût.	而解决方案的最佳组合将能在耗费最少资金的同时产生最大的效益。
L’article novateur des économistes Eric Bickel et Lee Lane présente l’une des premières études, et certainement la plus complète, sur les coûts et les bénéfices de l’ingénierie du climat.	如今由经济学家埃里克·比凯尔和李·雷恩所发表的开创性论文则是最早 — — 当然也是最全面的 — — 研究气候工程学成本与收益的成果之一。
Manipuler le climat planétaire semble appartenir à la science-fiction, il faut pourtant s’y intéresser, comme l’a déclaré John Holdren, conseiller scientifique du président Barack Obama. Et nombre d’éminents scientifiques partagent cet avis.	人为操控地球气候原本似乎只是科幻小说的情节，但正如同美国总统奥巴马的首席科学顾问约翰•霍尔德伦所说的 ， “ 这想法值得看看 ” ， 而他的这一看法也得到了许多著名科学家的赞同。
Bickel et Lane donnent des preuves indiscutables qu’un investissement très faible dans l’ingénierie du climat pourrait réduire les effets du réchauffement climatique autant que les milliers de milliards de dollars dépensés pour réduire les émissions de carbone.	比凯尔和雷恩提出了令人信服的证据：只需对气候工程进行微薄的投入也许就能够降低全球变暖效应，而相同效果如果要通过削减碳排放来实现的话，则起码要耗费数万亿美元资金。
L’ingénierie du climat a l’avantage de la rapidité.	气候工程的有一个优势，那就是见效快。
En effet, il existe un retard significatif entre les réductions de carbone et toute chute des températures – une réduction même de moitié des émissions mondiales d’ici le milieu du siècle serait à peine mesurable à la fin du siècle.	因为碳排放削减与气温降低之间的因果关系之间有显著的时间差 — — 即使在本世纪中期成功将全球的排放量减半，但人们可能到等到世纪末都难以衡量其减缓气候变暖的效果如何。
Il faudra aussi du temps pour que l’énergie verte soit bon marché et monnaie courante. Pensez que l’électrification de l’économie mondiale est toujours incomplète après plus d’un siècle d’efforts.	而绿色能源的廉价化和推广也将需要很长时间，要知道人类都努力了一个多世纪了，至今连全球经济电气化都未能实现呢。
De nombreuses méthodes d’ingénierie atmosphérique ont été proposées.	有关大气工程学的许多方案��已经被提了出来。
La gestion de la radiation solaire semble l’une des plus utiles.	而其中最有希望的则是太阳辐射管理装置。
Les gaz à effet de serre atmosphériques laissent passer la lumière du soleil mais absorbent la chaleur et en renvoient une partie vers la surface de la terre.	大气中的温室气体在允许阳光穿过的同时吸收热量，并将部分热量辐射至地表。
Sauf imprévu, des concentrations plus élevées réchaufferont la planète.	在其他条件相同的情况下，温室气体浓度越高，地球就越暖。
La gestion de la radiation solaire permettrait de renvoyer un peu de rayonnement solaire dans l’espace.	而太阳辐射管理装置则能够将少量太阳光线反射回宇宙空间。
Refléter ne serait-ce que 1 à 2 % du total de la lumière du soleil qui frappe la terre pourrait compenser autant de réchauffement que celui causé par le doublement des niveaux préindustriels de gaz à effet de serre.	只要把到达地表的太阳光线总量的1%至2%反射回去，所减少的热量就等于全球工业化之前地球温室气体所产生的总热量的两倍。
Au cours de l’éruption du mont Pinatubo en 1991, environ un million de tonnes de dioxyde de souffre a été projeté dans la stratosphère, provoquant une réaction avec l’eau et la formation d’une couche brumeuse qui s’est répandue sur tout le globe et – par dispersion et absorption de la lumière entrante du soleil – a refroidi la surface de la terre durant près de deux ans.	当皮纳图博火山在1991年喷发的时候，大约100万吨二氧化硫被排放到大气的同温层当中，随后与水汽共同作用，形成了一个雾状的气层并散布到整个地球 — — 这一气层散射和吸收了射进来的太阳光线 — — 致使地球表面温度降低长达两年之久。
Nous pourrions reproduire cet effet par l’apport d’aérosol stratosphérique, principalement en envoyant dans la stratosphère des éléments tels que du dioxyde de souffre ou de la suie.	而我们则可以通过在同温层注入悬浮粒气体来模拟这种效应 - - - - 实质上就是向同温层发射二氧化硫或煤灰等物质。
Autre méthode prometteuse, le blanchiment des nuages marins consiste à vaporiser des gouttelettes d’eau de mer vers les nuages pour les rendre plus réfléchissants.	而另一个可实现的方法是将增加海洋云的白化程度，即把雾状的海水微粒喷射入云中使其能反射更多的阳光。
Cela augmente le processus naturel au cours duquel le sel de mer fournit de la vapeur d’eau avec le noyau de condensation des nuages.	这实际上是加速了一种自然进程 — — 海洋中的盐分可以为水汽凝结成云的进程提供更多的凝结核。
Il est remarquable de penser qu’on pourrait annuler le réchauffement planétaire de ce siècle grâce 1 900 navires téléguidés qui vaporiseraient de l’eau de mer dans l’air pour épaissir les nuages.	想想看那种壮观的情景：用1900艘无人驾驶的大船，向空中喷射雾状的海水水汽使得云层加厚，就可以消灭本世纪全球变暖现象。
Le coût total serait d’environ 9 milliards de dollars et les bénéfices issus de la prévention de la hausse des températures, d’environ 20 000 milliards.	这项工程的总成本大约将是90亿美元，而阻止气温上升所带来的收益则可以达到20兆美元。
Cela revient à obtenir environ 2000 dollars pour chaque dollar dépensé.	这样做等同于每花1美元，就能得到2000美元的回报。
Une grande partie des risques de la géo-ingénierie ont été exagérés.	而与此同时，气候工程的许多风险则被人们过分夸大了。
Le blanchiment des nuages marins n’entraînerait pas de changements atmosphériques permanents et pourrait être utilisé uniquement en cas de besoin.	海洋云的白化效应将不会导致永久的大气变化，且只在需要时才会使用。
La transformation l’eau de mer en nuages est un processus naturel.	加上海水转化成云层本来就是一种自然过程。
La plus grande difficulté qui se pose est la perception du public.	而最大的挑战则来自于公众意识。
De nombreux lobbyistes de l’environnement s’opposent à la recherche même de l’ingénierie du climat – ce qui est surprenant au vu de ses multiples avantages.	许多环保政治说客甚至反对气候工程学的研究。 鉴于其多方面的益处，这样的反对实在令人费解。
Puisque les préoccupations portent avant tout sur la hausse des températures, on devrait donc se réjouir du fait que cette méthode simple et efficace par rapport à son coût soit aussi prometteuse.	如果我们主要关注的就是如何避免地球气温升高的话，就应对拥有这个如此简单、高性价比且前景如此清晰的方法感到兴高采烈才对。
L’ingénierie du climat pourrait rester une solution de dernier recours, en cas de besoin. Nous pourrions également l’inscrire aujourd’hui parmi nos priorités.	气候工程可以被当做一个后备选择以备不时之需，或者我们现在就可以立刻将它提上日程。
Dans l’un ou l’autre cas, il est impératif de la prendre au sérieux.	在两种可能性之下，目前的危机形势都需要我们对其进行严肃的考量。
Nous risquons d’être la génération qui a perdu des décennies à se chamailler au sujet de la réduction des émissions de carbone et qui n’a pas réussi à faire cesser les effets nuisibles du réchauffement.	因为我们正在沦落为这么一代人 — — 徒费几十年光景为了削减碳排放而争吵，却并没能阻止全球变暖所带来的有害效应。
Ce serait un fardeau honteux que l’on pourrait éviter en repensant la politique climatique.	而这将是一笔令人蒙羞的遗产 — — 只有重新思考气候政策，才能避免留下如此恶名。
	
Les victimes incomprises du réchauffement climatique	被误解的全球变暖受害者
BAMAKO, MALI – Les médias des pays riches envoient régulièrement leurs reporters à la recherche de « victimes du réchauffement climatique. » Leurs dépêches qui nous parviennent des îles du Pacifique, du Bengladesh ou d’Ethiopie nous annoncent l’imminence de la catastrophe.	发自巴马科，马里 — — 发达国家的媒体经常派人四处挖掘所谓的“全球变暖受害者 ” 。 这些记者们从太平洋岛国，孟加拉或埃塞俄比亚等地方发来的消息一再向我们警告说灾难正迫在眉睫。
Le réchauffement climatique représente le défi le plus terrible auquel sont confrontées ces régions. Il est vital de trouver une solution à ce problème.	他们声称，全球变暖成为了这些地区所面对的最严峻挑战，急需解决方案。
Ces personnes dont on nous dit qu’elles sont en danger sont pourtant rarement écoutées.	然而，我们很少听到那些据说正在受灾的当地人的说法。
Elles ne sont pas muettes, mais nous ne prêtons aucune attention à ce qu’elles disent.	但这些人可不是哑巴，只是我们不去关注而已。
Le Centre du Consensus de Copenhague a décidé de donner la parole à ces personnes vivant dans les zones particulièrement concernées par le réchauffement climatique afin qu’elles évoquent leurs craintes et leurs espoirs.	哥本哈根共识研究中心则派人去对那些生活在在全球变暖重灾区的人们所拥有的恐惧和希望进行研究。
A Mojo, au centre de l’Ethiopie, nos chercheurs ont rencontré Tadese Denkue, un ancien soldat de 68 ans sans revenus réguliers. « Je ne sais jamais quand je pourrais m’acheter de quoi manger » dit-il, « je sais juste que je souffre beaucoup.	在埃塞俄比亚中部城市莫角，我们的研究人员遇见了68岁的泰德西 · 邓库，他当过兵，现在没有稳定的收入。 在交谈中，他抱怨说“我不知道什么时候我才能养活自己。
Cette vie est indécente. »	我只知道我遭了很多罪，这不是什么好活法 。 ”
Tadese n’a jamais entendu parler du réchauffement climatique.	泰德西从来就没听说过全球变暖。
Lorsqu’on le lui explique, il semble bien peu concerné.	在我们向他解释完了之后，他显得不屑一顾。
Il a des soucis bien plus pressants. « La première chose dont j’ai besoin, c’est de nourriture, et puis d’un travail. »	的确，他有更多别的操心事需 ， “ 当下我最缺的就是吃的，然后就是一份活儿 。 ”
Tadese subit sa deuxième crise de paludisme cette année. Il ne se souvient même plus du nombre de crises qu’il a déjà eu.	现在他正在遭受着疟疾的折磨，这已经是今年的第二回了，他已经记不清楚与这种疾病打了多少回交道。
Notre chercheur l’accompagne au dispensaire. L’électricité est en panne.	我们的研究员陪同他去了一间免费诊所。
Le médecin admet que la plupart des patients sont renvoyés chez eux sans même faire l’objet d’un examen ou de traitement : le dispensaire n’a plus aucun médicament à distribuer.	但是诊所断了电，那里的一位医生坦率地告诉我们说，这边大部分的病人还没有得到检查或治疗就被送了回家。 但这也是没有办法，诊所的药品早就用光了。
La crainte du paludisme est l’argument utilisé pour justifier les réductions drastiques d’émissions de carbone.	疟疾肆虐的威胁曾作为要求大幅度削减碳排放的理由。
Un climat plus chaud, plus humide favorise le développement du parasite responsable du paludisme.	因为更温暖，潮湿的气候将有利于携带疟疾的蚊虫繁殖。
La plupart des estimations indiquent que le réchauffement climatique soumettra 3% supplémentaires de la population mondiale au risque du paludisme d’ici à 2100.	大多数评估报告认为到了2100年，全球变暖将使全球面临疟疾威胁的人口数量增加3 ％ 。
Les programmes de réduction d’émissions de carbone les plus efficaces, sensés limiter la hausse des températures à 2° Celsius maximum, devraient coûter 40 billions de dollars par an jusqu’en 2100, selon une enquête de Richard Tol pour le Centre du Consensus de Copenhague.	而据理查德·图尔为共识研究中心所做的研究，到2100年，全球最有效的碳减排计划 — — 旨在温度上升幅度控制在2摄氏度之内 — — 将每年耗费40万亿美元。
Dans le meilleur des scénarii, cette dépense ne réduirait le taux de population à risque que de 3 %.	但即便在最理想的状况下，这笔钱也只能减少3％的受灾人口。
Comparativement, dépenser 3 milliards par an en moustiquaires, en bombes insecticides d’intérieur sans danger pour l’environnement et en financements de nouvelles combinaisons thérapeutiques efficaces, pourrait réduire de moitié le nombre de personnes infectées en moins de dix ans.	相比之下，如果在未来十年内能每年拨出30亿美元来鼓励使用蚊帐和室内无害DDT喷雾，以及资助有效的新型综合疗法，就可以在10年内使疟疾受灾人口减半。
Pour une vie sauvée via la réduction des émissions polluantes, des politiques plus intelligentes en sauveraient 78 000.	同样的钱，花在碳减排上只能挽救一条生命，而花在更明智的政策上则能挽救7万8千条生命。
Le paludisme n’est évidemment pas la seule inquiétude liée au réchauffement climatique.	当然，我���关注全球变暖并不仅仅因为疟疾。
A 20 kilomètres de Mojo, notre chercheur a rencontré Desi Koricho et son fils de 18 mois, Michel.	在距离莫角20公里的地方，我们的研究员遇见了德茜·克里科赫和 她8个月大的儿子米歇尔。
Tous les quinze jours, Desi marche 4 heures durant pour emmener Michel au centre de santé.	每两个星期，德茜都要陪她的儿子长途跋涉4小时去健康中心。
Après deux mois d’un traitement contre la malnutrition, Michel a bien grandi mais n’a que la moitié de la taille habituelle d’un enfant de son âge.	经过两个月的营养不良治疗之后，米歇尔已经长大了很多，但他的身子仍然只有其同龄婴儿的一半大。
Michel n’est pas le fils biologique de Desi.	米歇尔并不是德茜的亲生子。
Elle l’a recueilli lorsqu’il a été abandonné par sa famille à la suite du suicide de son père.	在米歇尔的父亲自杀后，这位母亲就收养了这个被遗弃的孤儿。
Desi souffre probablement elle aussi de malnutrition, mais aucun diagnostic ne l’a confirmé.	但德茜自己也身患病因不明的营养不良疾病。
C’est assez courant par ici.	实际上，这种病在这个地方很普遍。
Il n’y a pas de routes, pas d’électricité, ni d’infrastructure d’aucune sorte.	没有道路，没有电，也没有其他什么公共设施，只有拥挤和肮脏。
Les conditions de vie sont très difficiles, sans aucune hygiène. « Nous avons besoin de tout » raconte Desi.	德西向我们倾诉“我们什么都缺 ” 。
Résoudre les problèmes de malnutrition serait un bon début.	而扫除疟疾将是解决该地区问题的一个较好的突破口。
Les militants en Europe et aux Etats-Unis utilisent la peur de la famine pour justifier les programmes de réduction drastique d’émissions de carbone.	欧洲和美国的示威者用饥荒的威胁来作为大规模削减碳排放的理由。
Pour la plupart des régions, les changements climatiques vont contribuer à une meilleure productivité agricole.	然而事实上，对大部分地区来讲，气候变化将提高农业生产力。
Ce n’est malheureusement pas le cas d’une grande partie de l’Afrique, déjà accablée par la famine.	但对已经饱受饥饿折磨的非洲地区来讲，气候变化带来的却是残酷的现实。
Mais, comme dans le cas du paludisme, tous les témoignages montrent que des actions directes sont bien plus efficaces que les réductions d’émissions polluantes.	但是，如同疟疾的例子一样，所有的证据都显示直接的治理政策比削减碳排放要有效得多。
Un des traitements efficaces, bien que sous-estimé, consiste à distribuer des micronutriments à ceux qui souffrent de carence nutritionnelle.	其中一种非常有效但却总被忽视的方法就是向有需要的人们提供微量营养素。
Le simple fait de donner de la vitamine A et du zinc à 80% des quelques 140 millions d’enfants souffrant de malnutrition nécessiterait un engagement d’à peine 60 millions de dollars par an.	每年只需花6000万美元就能向全球1亿4千万营养不良儿童中的80％提供足够的维他命A和锌。
Pour 286 millions de dollars, nous pourrions donner du fer et de l’iode à plus 2,5 milliards de personnes.	而只需花2亿8千6百万，我们便能给超过25亿人口提供铁和碘。
Le choix est difficile : pour quelques centaines de millions de dollars, nous pourrions aujourd’hui aider presque la moitié de l’humanité.	这简直是想都不用想的选择：只用区区的几亿美元，我们就能救助全球过半的人口。
Il faut comparer cela aux investissements consacrés au changement climatique, soit 40 billions de dollars par an d’ici à la fin du siècle qui sauveraient cent fois moins de personnes souffrant de famine (et en 90 ans !).	这样的投资与解决气候变化的成本相比 — — 每年需耗费40万亿美元直到本世纪末 — — 同样一笔钱则可以在未来90年内把那些挣扎于饥饿线上的人们拯救近百次。
Pour chaque vie sauvée de la malnutrition par le biais des politiques climatiques, les mêmes montants financiers dirigés vers les politiques directes sauveraient un demi million de personnes grâce aux micronutriments.	都是那么多钱，花在气候政策上只能够使一个人摆脱营养不良，而用在更直接有效的政策上却能使50多万人口免于遭受微量营养素不足的折磨。
Certains estiment qu’il n’est pas juste d’opposer les programmes de réduction d’émissions de carbone aux politiques directes.	不过，有人认为对减少碳排放和直接政策两者所耗费的成本作比较是不合理的。
Mais il est indiscutable qu’aucun dollar ne peut être dépensé deux fois.	但我们不能忽视一个基本的事实：一笔钱只能用在一个地方。
Les pays riches et les donateurs ont réduit les budgets et l’ampleur des interventions.	发达国家和富裕的捐献者的预算和精力都是有限的。
Si nous destinons d’importantes sommes d’argent à la réduction des émissions de carbone, convaincus, même à tort, que nous éradiqueront le paludisme et que nous réduiront la malnutrition, il est fort probable que nous serons peu disposés à provisionner les sommes nécessaires au soutien des politiques directes qui seraient utiles aujourd’hui.	如果我们被那些错误的信念牵着鼻子走，自以为在对抗疟疾和减少营养不良而把大量的资金花在削减碳排放上，那么当然也拿不出什么钱投放到那些效果立竿见影的直接性政策上了。
Car pour chaque dollar dépensé sur des politiques climatiques fortes, nous ne contribuerons que 0,02 dollar pour le bien de notre avenir.	而事实上，我们扔在强力气候控制政策上的每1个美元，在未来大概只能收到相当于0.02美元的回报。
Si nous dépensons le même dollar sur des politiques simples de prévention de la malnutrition et du paludisme, et en prenant en considération tous les impacts, nous contribuerions 20 dollars ou plus, soit 1000 fois mieux.	相反，如果现在我们把同样的钱投到直接有效的政策来治疗营养不良和根除疟疾，那么我们将收获20美元甚至更多。 而即便把所有的影响因素都考虑进来，也比花在气候控制政策上的收益要高1000倍。
Sur le Mont Kilimandjaro en Tanzanie, où les effets du réchauffement climatique sont déjà visibles, notre chercheur a rencontré une jeune femme de 28 ans, Rehema Ibrahim.	在位于坦桑尼亚的乞力马扎罗山区 — — 在那里我们可以清晰地感受到全球变暖的影响 — — 研究员遇见了雷赫玛·伊布拉希姆。
Rehema a été répudiée par son mari et reniée par sa famille pour ne pas avoir pu leur donner un enfant.	由于怀不上孩子，她在被丈夫休掉后又被娘家人赶了出来。
Elle a alors commencer à dormir avec d’autres hommes pour savoir si elle était vraiment stérile.	而为了弄明白究竟不育是不是她自身的原因，雷赫玛又跟许多男人发生了关系。
Elle est maintenant séropositive, paria d’une société terriblement pauvre.	到如今她成了一个在极度贫穷的社会里身患艾滋病的边缘人。
Rehema a remarqué les changements de climat.	但雷赫玛却注意到了气候的变化。
Elle constate que la neige et la glace ont fondu.	她说山上的冰雪都在融化，所以她能够理解我们所说的“全球变暖 ” 。
Elle sait ce que signifie « réchauffement climatique. » Mais elle dit : « Mes problèmes sont prioritaires.	但她对我们说 ： “ 我自己的问题更要紧。
Le HIV et les soucis qu’il provoque sont bien plus importants que la [fonte de la] glace. »	我身上的艾滋病毒及其引起的并发症可比冰川萎缩问题严重多了 。 ”
Les partisans des réductions d’émissions de carbone s’intéressent beaucoup au phénomène de fonte des glaces et des neiges du Kilimandjaro.	呼吁削减碳排放的示威者通常都会强调乞力马扎罗山上区冰雪的融化。
Mais il faut aussi nous intéresser aux personnes qui vivent dans l’ombre de la montagne.	但实际上，更需要我们关注的，其实就是这些生活在山脚下的人们。
	
Les OMG et la science au rabais	转基因生物和垃圾科学
STANFORD – Dans le paysage médiatique d'aujourd'hui, où les opinions non fondées, le battage et les rumeurs vont bon train, la méthode scientifique (les moyens par lesquels nous déterminons, en fonction de preuves empiriques et mesurables, ce qui est vrai), doit servir de pierre de touche de la réalité.	斯坦福—在今天的媒体上，子虚乌有的观点、天花乱坠的宣传和流言层出不穷，科学方法 — — 我们根据实证和可测的证据确定什么是真的手段 — — 应该成为现实性的试金石。
La science nous permet de mesurer l'étendue de nos connaissances et d'identifier ce que nous ne savons pas.	科学让我们能够评估我们认为我们知道的，认识我们所不知道的。
Plus important encore, elle jette le discrédit sur les fausses affirmations faites pour des raisons personnelles ou politiques, ou du moins elle se doit de le faire.	最重要的是，科学质疑出于个人和政治原因而提出的错误主张 — — 至少应该如此。
Mais parfois quelques scientifiques « passent de l'autre côté » et délaissent la méthode scientifique (souvent pour des questions de notoriété ou de profit économique), pour produire de la propagande et semer la peur au sein de l'opinion publique qui ne dispose pas de compétences mais est toujours friande d'informations.	科学家偶尔也会“流氓化 ” ， 放弃科学方法 — — 常常引来臭名或为了追求经济利益 — — 炮制宣传，在缺少专业知识又渴望知情的公众中间散播恐慌。
Cet abus de l'autorité scientifique est particulièrement répandu dans les secteurs des aliments « biologiques » et « naturels », qui tirent profit de la peur éprouvée à l'égard des produits synthétiques ou « non naturels ».	这一对科学权威性的滥用在“有机”和“自然”食品行业尤其普遍，这些行业利用人们对合成或“非自然”产品的恐慌心理。
Un exemple récent est celui du scientifique américain d'origine hindoue V.A. Shiva Ayyadurai, qui, avec Prabhakar Deonikar, a publié cet article que tout le monde a tourné en dérision : « Les OGM accumulent-ils le formaldéhyde et perturbent-ils les équilibres des systèmes moléculaires ?	最近的例子是印度裔美国科学家阿亚杜拉伊（V.A. Shiva Ayyadurai ） ， 他和德奥尼卡尔（Prabhakar Deonikar）发表了一篇非常可笑的文章《转基因生物会积累甲醛、干扰分子系统均衡吗？ 系统生物学可以提供答案 》 。
La biologie des systèmes a peut-être certaines réponses. » (Les « OGM » sont des « organismes génétiquement modifiés », une catégorie en elle-même trompeuse et souvent injustement stigmatisée, qui englobe un univers d'organismes modifiés par les techniques plus modernes et les plus précises du génie génétique.)	（ “ 转基因生物”本身就是一个误导性的、常常受到莫名指责的非分类（non-category ） ， 包括各种用最现代、最精确的遗传工程技术改良的生物。 ）
Bien que l'article soit apparemment passé par le processus d'examen par les pairs, un élément clé de la science légitime, il est paru dans un journal à articles payants à faible impact, Agricultural Sciences, produit par un éditeur « agressif ».	尽管这篇文章必然是经过了同行评议流程的（同行评议是合理科学的一个关键要素 ） ， 但发表它的是一份影响力很低的“收费刊登”期刊《农业科学 》 （ Agricultural Sciences ） ， 有一家“掠夺性”出版商发行。
Dans les jours qui ont suivi sa publication, des organisations anti-biotechnologies comme Organic Consumers Association et OGM Inside ont publié des articles à partir des « découvertes » d'Ayyadurai, assortis de titres effrayants : « Du formaldéhyde dans le soja OGM ? » et « Une nouvelle étude montre que le soja OGM accumule le formaldéhyde qui cause le cancer », accompagnés de graphiques effrayants.	这篇文章发表不出几天，反生物技术组织，如有机消费者协会（Organic Consumers Association）和转基因生��内幕（GMO Inside）等，纷纷以耸人听闻的标题报道阿亚杜拉伊的“发现 ” — — 《 转基因大豆含有甲醛？ 》 、 《新研究表明转基因大豆累积致癌化学物质甲醛 》 — —并配以吓人的图片。
Mais l'article d'Ayyadurai comporte une foule de problèmes.	但阿亚杜拉伊的文章可谓漏洞百出。
Son titre à lui seul suffit à montrer que quelque chose ne va pas.	光看标题就足以表明大有问题。
Si l'on estime que les OGM pourraient bien « accumuler le formaldéhyde », un produit chimique qui est probablement cancérigène à des niveaux élevés, mais est présent dans la plupart des cellules vivantes et que l'on trouve en abondance dans notre environnement, la réponse évidente consiste alors à mesurer ses niveaux dans les organismes.	如果你认为转基因生物可能“累积甲醛 ” — —高量甲醛可能致癌，但活性最好的细胞也含有甲醛，并且它可以在环境中广泛找到 — — 那么显而易见的反应应该是测量它在这种生物体中的量。
En revanche, Ayyadurai a choisi de faire des estimations fondées sur la modélisation à partir de la « biologie des systèmes. »	但阿亚杜拉伊却选择了基于通过“系统生物学”的建模进行猜测。
La « biologie de systèmes » permet seulement de faire une prévision, pas de tirer une conclusion expérimentale.	“系统生物学”只能形成预测，而不能形成实验推论。
Plutôt que de réellement examiner les niveaux de tous les produits chimiques dans les usines, Ayyadurai a rentré les données dans un algorithme d'ordinateur pour prévoir les niveaux de deux produits chimiques, le formaldéhyde et le glutathion.	阿亚杜拉伊并没有实际检测作物中的任何一种化学物质含量，而是将数据输入一套计算机算法，预测两种化学物质 — — 甲醛和谷胱甘肽的含量。
On peut comparer cela à un météorologue qui prédirait en fonction de ses modèles qu'il fera beau toute la journée, au lieu de regarder par la fenêtre et de voir que la pluie tombe.	这就好比是气象学家根据模型预测全天晴朗，而不屑朝窗外看一眼是否在下雨。
Comme l'a expliqué Kevin Folta, Directeur du département des sciences horticoles à l'Université de la Floride, la biologie des systèmes peut être une approche utile, quand on l'utilise correctement.	诚然，佛罗里达大学园艺系主任富尔塔（Kevin Folta）解释说，如果使用得当，系统生物学可以是有用的方法。
Selon ses termes, la biologie de systèmes « est une manière de faire des prévisions en intégrant des données existantes, puis en en dérivant une probabilité statistique que les prévisions peuvent être correctes. » Mais il insiste sur ce fait que les prévisions doivent alors être examinées « et que l'approche par les systèmes doit être validée. »	他说，系统生物学“是一个基于整合已有数据产生预测，然后通过统计方法确定预测正确概率的方法 。 ” 但是，他强调，预测必须得到检验 ， “ 并且系统方法必须可行 。 ”
Comme toutes les études prédictives basées sur la modélisation informatique, la validité des résultats dépend de l'intégrité des données et de l'algorithme.	和所有基于计算机建模的预测研究一样，结果的可靠性取决于数据和算法的完整性。
Si les données sont sélectionnées en vue d'étayer les conclusions désirées par celui qui opère la modélisation, ou si l'algorithme est défectueux, les résultats seront alors imprécis.	如果数据经过挑选以支持建模者想要的推论，或者如果算法有缺陷呢，那么结果就不准确。
Mais l'article d'Ayyadurai ne cite pas précisément les données qu'il a utilisées et il n'y a pas eu de validation du modèle.	但从阿亚杜拉伊的文章中难以清楚他使用了什么数据，因此他的模型是无效的。
	富尔塔巧妙地讽刺了阿亚杜拉伊的工作。
Folta tourne brillamment en ridicule le travail d'Ayyadurai. « Si vous développez un programme informatique qui intègre des données Internet, afin de prévoir l'emplacement de Munich et que le programme vous répond carrément que cette ville se trouve dans le Golfe du Mexique, à côté de la Floride, cela ne signifie pas que Munich se trouve dans le golfe du Mexique, à côté de la Floride. » Cela signifie plutôt que vous avez fait une erreur dans votre programme, dans vos hypothèses ou dans la saisie des données, autant de choses qui sont vérifiables.	“如果你开发了一套计算机程序，用它整合互联网数据来预测慕尼黑的位置，而程序告诉你它大概是在墨西哥湾，紧邻佛罗里达州，这并不意味着慕尼黑就在墨西哥湾，紧邻佛罗里达州 。 ” 相反，这意味着你在你的程序、假设或输入数据中犯了一个错误 — — 所有这些都是可检验的。
